iata,Party,Party overflow,Total,Allocted,total_delegates_pro_rata,total_delegates_GDP,total_delegates_sample
AUH,620,3789,4409,0,4409,4557,8786
GRU,1337,1744,3081,4517,7598,3643,3618
PEK,219,1192,1411,2069,3480,6672,2640
LOS,590,821,1411,0,1411,1549,1718
CGK,224,1005,1229,0,1229,1615,1229
HND,255,812,1067,1564,2631,2306,1221
IST,452,593,1045,1532,2577,1311,1045
DEL,725,223,948,1390,2338,1949,2714
RBA,581,242,823,0,823,861,1207
CDG,266,534,800,1173,1973,1614,1491
JFK,159,611,770,1129,1899,8220,5761
NBO,368,397,765,0,765,798,1226
DAR,391,372,763,0,763,785,763
YOW,187,555,742,1088,1830,1368,1126
TLV,393,325,718,1053,1771,872,718
KUL,198,502,700,0,700,819,777
LHR,75,622,697,1022,1719,1602,3692
ICN,114,575,689,1010,1699,1179,766
ACC,95,523,618,0,618,640,1002
EBB,375,231,606,0,606,619,760
FIH,346,244,590,0,590,609,667
SVO,590,,590,865,1455,1246,590
CAI,164,401,565,0,565,705,1102
DKR,401,159,560,0,560,568,637
NDJ,186,368,554,0,554,558,554
FCO,147,386,533,781,1314,1133,840
BER,280,188,468,686,1154,1664,1620
LUN,247,198,445,0,445,454,445
AMM,190,254,444,0,444,458,521
BGW,312,130,442,0,442,519,442
RUH,48,378,426,0,426,751,1117
JNB,166,244,410,601,1011,529,871
SYD,99,305,404,592,996,900,711
NQZ,403,,403,0,403,469,403
ABJ,316,85,401,0,401,422,555
BRU,124,272,396,581,977,0,396
MCT,165,215,380,0,380,414,380
BOG,70,308,378,554,932,479,608
HAN,232,145,377,0,377,497,377
MGQ,245,121,366,0,366,369,443
SIN,61,299,360,0,360,497,514
MNL,249,93,342,0,342,460,649
HRE,278,59,337,0,337,345,337
GYD,232,80,312,0,312,335,312
LLW,305,,305,0,305,309,305
SCL,64,237,301,441,742,389,378
TAS,298,,298,0,298,322,298
COO,178,119,297,0,297,302,297
BKK,94,199,293,0,293,438,447
LAD,255,35,290,0,290,321,290
ATH,60,228,288,422,710,352,288
NKC,285,,285,0,285,288,285
BZV,284,,284,0,284,289,284
KWI,54,229,283,0,283,334,283
ADD,179,96,275,0,275,312,352
CPH,145,126,271,397,668,388,501
DOH,171,93,264,0,264,333,494
ARN,56,198,254,372,626,427,715
LFW,225,25,250,0,250,252,250
MAD,82,164,246,361,607,661,1014
KTM,117,124,241,0,241,253,471
HEL,68,170,238,349,587,321,238
BJL,178,60,238,0,238,0,238
ISB,80,158,238,0,238,348,392
SOF,84,150,234,0,234,260,311
CMB,83,151,234,0,234,256,311
KGL,223,,223,0,223,227,300
TUN,113,108,221,0,221,235,221
BAH,96,122,218,0,218,231,218
AMS,43,171,214,314,528,510,598
WDH,142,70,212,0,212,216,212
LIS,91,120,211,309,520,286,441
CKY,177,31,208,0,208,214,208
OUA,206,,206,0,206,212,206
ROB,149,48,197,0,197,198,197
LIM,49,146,195,0,195,266,195
TNR,87,102,189,0,189,193,189
FNA,187,2,189,0,189,190,189
GBE,168,18,186,0,186,192,186
LBV,141,45,186,0,186,192,186
OSL,40,143,183,268,451,353,490
BRU,61,120,181,265,446,352,258
SSG,134,46,180,0,180,184,180
IEV,60,120,180,0,180,227,180
AEP,37,142,179,0,179,364,256
BJM,172,,172,0,172,173,172
MPM,171,,171,0,171,176,171
ROR,70,92,162,0,162,162,162
BEY,33,127,160,0,160,167,314
JUB,153,5,158,0,158,158,158
YAO,147,9,156,0,156,169,233
SAH,92,61,153,0,153,0,153
TIP,89,61,150,0,150,163,150
WAW,68,81,149,218,367,351,149
DAC,148,,148,0,148,283,532
TLL,32,115,147,216,363,158,147
BKO,62,84,146,0,146,152,300
FCO,18,124,142,0,142,0,142
TGU,53,86,139,0,139,148,139
MEX,33,104,137,201,338,566,291
DUB,79,56,135,198,333,291,212
NIM,131,4,135,0,135,139,135
SUV,67,67,134,0,134,135,134
WLG,23,111,134,196,330,207,134
FRU,56,77,133,0,133,136,133
ULN,76,57,133,0,133,138,133
SEZ,133,,133,0,133,133,133
DYU,116,14,130,0,130,133,130
BGF,129,,129,0,129,130,129
POM,126,,126,0,126,135,126
UIO,19,105,124,0,124,158,124
VIE,49,73,122,179,301,260,276
LUX,26,89,115,169,284,139,115
SDQ,71,43,114,0,114,147,114
PNH,112,,112,0,112,121,112
HAV,94,16,110,0,110,296,110
OTP,110,,110,0,110,198,110
PBH,28,77,105,0,105,106,105
HAH,105,,105,0,105,105,105
ASB,97,3,100,0,100,117,100
VLI,61,38,99,0,99,99,99
ASU,62,36,98,0,98,110,98
PTY,31,61,92,0,92,114,246
GUA,58,33,91,0,91,119,91
KEF,25,66,91,133,224,99,91
EVN,56,28,84,0,84,90,84
BWN,72,12,84,0,84,89,84
TLV,53,28,81,0,81,0,81
BGI,77,3,80,0,80,82,80
BUD,56,23,79,116,195,131,79
TBU,79,,79,0,79,79,79
JIB,78,,78,0,78,79,78
NAS,37,37,74,0,74,78,74
THR,73,,73,0,73,194,73
CXI,71,,71,0,71,71,71
MLE,44,25,69,0,69,71,69
DIL,69,,69,0,69,70,69
RMI,53,12,65,0,65,65,65
PRG,49,12,61,89,150,146,61
MTS,30,31,61,0,61,62,61
TBS,60,,60,0,60,67,60
BZE,47,11,58,0,58,59,135
MRU,12,44,56,0,56,60,56
LJU,31,25,56,82,138,74,133
HIR,56,,56,0,56,56,56
FUN,40,14,54,0,54,54,131
APW,52,1,53,0,53,53,53
ZRH,21,32,53,78,131,293,360
BTS,40,12,52,76,128,86,52
MSQ,48,,48,0,48,69,48
MSU,47,1,48,0,48,49,48
SKB,44,4,48,0,48,48,48
MLA,39,8,47,0,47,52,47
LPB,40,6,46,0,46,59,46
SJJ,45,1,46,0,46,53,46
ECN,29,17,46,0,46,55,46
KRT,42,4,46,0,46,61,46
RIX,45,,45,66,111,57,45
BEG,43,2,45,0,45,64,45
SJO,26,18,44,65,109,64,44
BXO,43,,43,0,43,43,43
TIA,36,6,42,0,42,48,42
PAP,34,8,42,0,42,48,42
KIN,31,10,41,0,41,46,41
VTE,40,,40,0,40,45,40
ANU,34,5,39,0,39,40,39
GND,39,,39,0,39,39,39
VNO,34,5,39,57,96,60,39
TMS,38,1,39,0,39,39,39
SLU,37,,37,0,37,0,37
MVD,23,11,34,0,34,55,111
CCS,32,2,34,0,34,0,34
ALG,30,3,33,0,33,90,33
CCS,31,,31,0,31,34,108
PBM,30,,30,0,30,31,30
DOM,22,7,29,0,29,29,29
ZSA,11,17,28,0,28,38,28
NCE,19,9,28,0,28,31,28
SKP,26,2,28,0,28,32,28
ZAG,22,5,27,0,27,48,27
RAI,26,,26,0,26,27,26
PNI,26,,26,0,26,26,26
IUE,24,,24,0,24,0,24
TGD,22,,22,0,22,24,22
RAR,19,2,21,0,21,0,21
INU,21,,21,0,21,21,21
GEO,20,,20,0,20,24,97
POS,12,8,20,0,20,29,20
SVD,12,3,15,0,15,15,15
LEU,11,,11,0,11,12,11
ZRH,7,1,8,0,8,10,8
KIV,8,,8,0,8,12,8
ASM,7,,7,0,7,7,7
MGA,6,,6,0,6,11,6
FNJ,2,,2,0,2,0,2
